gene,GSM7813411,GSM7813412,GSM7813413,GSM7813414,GSM7813415,GSM7813416,GSM7813417,GSM7813418,GSM7813419,GSM7813420,GSM7813421,GSM7813422,GSM7813423,GSM7813424
ENSG00000169282,0.1325,0.2567,0.1084,0.2125,0.1677,0.3164,0.0926,0.1987,0.6871,0.2562,0.1478,0.1723,0.257,0.2315
ENSG00000169288,3.0847,2.8616,3.4,3.4376,3.5544,2.5289,4.5677,3.9318,2.7549,2.6926,4.3126,1.8147,2.9821,2.4112
ENSG00000169291,0.5352,0.3215,0.405,0.3358,0.3007,0.6396,0.4118,0.4483,0.5792,0.4449,0.2792,0.1536,0.105,0.2304
ENSG00000169297,0.002,0.0024,0.0024,0.0014,0.0027,0.0023,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.0022,0.0067
ENSG00000169299,1.1682,0.8323,0.759,1.018,0.9373,0.7644,0.924,1.2102,0.7125,0.6363,0.7712,0.8434,1.2676,1.027
ENSG00000169302,0.002,0.0024,0.0024,0.0348,0.0303,0.0304,0.0024,0.006,0.0149,0.0029,0.0081,0.0426,0.0022,0.0112
ENSG00000169306,0.002,0.0024,0.0072,0.0042,0.0027,0.0069,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169313,0.002,0.0024,0.0313,0.0069,0.0192,0.0023,0.0024,0.014,0.0021,0.0029,0.0081,0.0022,0.0022,0.0022
ENSG00000169327,0.091,0.1735,0.079,0.1629,0.16,0.1457,0.034,0.1856,0.2949,0.222,0.0513,0.1009,0.1037,0.1329
ENSG00000169330,0.0061,0.0408,0.0072,0.0097,0.0082,0.0208,0.0214,0.01,0.0106,0.0086,0.0134,0.0067,0.0238,0.0022
ENSG00000169340,0.0143,0.0671,0.0313,0.0544,0.0142,0.05,0.0214,0.0271,0.0741,0.0202,0.0245,0.0211,0.0151,0.0308
