gene,GSM7670133,GSM7670134,GSM7670135,GSM7670136,GSM7670137,GSM7670138,GSM7670139,GSM7670140,GSM7670141,GSM7670142,GSM7670143,GSM7670144
ENSG00000013016,0.0149,0.0241,0.0137,0.0267,0.025,0.0328,0.0215,0.0114,0.0102,0.0217,0.0285,0.0289
ENSG00000013275,2.8587,2.5983,3.1616,2.5405,2.4914,2.1961,2.2477,3.082,3.4949,2.5909,2.5626,2.7491
ENSG00000013288,1.3217,1.849,0.6927,1.3973,1.3848,1.7929,2.0531,0.9485,0.7192,1.342,1.4306,1.3673
ENSG00000013293,0.0276,0.0528,0.0258,0.036,0.0247,0.0245,0.037,0.0436,0.0266,0.0308,0.054,0.0307
ENSG00000013297,0.0089,0.014,0.0175,0.0186,0.0207,0.0103,0.0259,0.0235,0.0103,0.0136,0.0112,0.0107
ENSG00000013306,7.7779,5.5556,9.5908,5.7409,6.0903,6.0717,4.862,9.8168,9.4249,6.7746,5.1519,7.699
ENSG00000013364,4.3755,4.9771,3.0761,3.9123,4.1997,4.8218,5.5359,4.2119,3.6361,4.3698,4.6473,4.5912
ENSG00000013374,2.592,2.7319,2.5073,2.1582,2.2602,2.7982,2.7778,2.569,2.5125,2.7235,2.6877,2.3455
ENSG00000013375,0.6155,0.6676,0.6132,0.692,0.6928,0.5973,0.678,0.5327,0.6221,0.5924,0.6487,0.6356
ENSG00000013392,0.074,0.0823,0.063,0.0815,0.079,0.0915,0.1067,0.0424,0.0609,0.0775,0.0966,0.0748
ENSG00000013441,7.2696,8.3178,6.0083,6.1489,6.7562,8.1833,9.7003,6.7773,6.2641,7.6319,7.1196,5.5886
ENSG00000013503,0.785,0.6413,1.0212,0.77,0.7726,0.7844,0.683,0.885,0.9813,0.8382,0.7767,0.7013
ENSG00000013523,2.1302,2.1713,2.327,1.5119,1.5876,1.5972,2.1936,2.7224,2.1504,1.9688,1.9202,1.8655
ENSG00000013561,1.0448,1.3176,1.6965,1.2021,1.1507,1.1465,1.4346,1.6493,1.695,1.1199,1.3077,1.0426
ENSG00000013563,0.42,0.5899,0.2483,0.3945,0.3903,0.5736,0.6786,0.3457,0.3106,0.4517,0.5493,0.3493
ENSG00000013573,4.8792,2.9267,5.4332,7.4936,7.2314,5.3541,2.744,6.5531,5.6194,5.4016,3.7301,8.2845
ENSG00000013583,0.2739,0.2292,0.2852,0.1741,0.1808,0.3274,0.2249,0.2962,0.3131,0.3004,0.2038,0.2001
ENSG00000013588,0.0179,0.0203,0.0146,0.0206,0.0192,0.022,0.04,0.0279,0.0195,0.0215,0.0303,0.0278
ENSG00000013619,1.0721,1.6489,1.5938,0.7757,0.5319,0.4706,0.8394,1.0027,1.2607,0.7956,1.0068,0.8901
ENSG00000013725,11.5712,9.4319,7.8361,11.7474,16.5121,16.1011,14.8567,17.9353,9.4702,12.5163,14.3053,11.7713
ENSG00000013810,4.4485,3.3108,2.7424,6.6614,6.7105,6.8915,3.9678,3.7356,3.2022,5.6099,4.6281,6.5467
ENSG00000014123,1.4792,1.8302,1.4085,1.6315,1.7616,1.6652,2.0532,1.3174,1.308,1.5379,2.0196,1.3018
ENSG00000014138,1.1763,0.5963,1.0692,2.1111,1.8949,1.2742,0.4862,0.9715,1.1785,1.416,0.8025,2.2038
ENSG00000014164,0.7829,0.7499,0.7852,0.7178,0.7746,0.6992,0.782,0.8323,0.8524,0.7717,0.8145,0.7577
ENSG00000014216,2.0088,1.9161,1.0111,2.3567,2.2003,2.5447,1.9888,1.2558,1.18,2.0772,1.6544,2.2069
ENSG00000014257,0.0163,0.0272,0.0244,0.0305,0.0106,0.0113,0.0201,0.0337,0.0244,0.03,0.0152,0.0132
ENSG00000014641,5.7252,4.1509,7.4847,5.5601,5.4812,5.4945,4.606,5.7945,7.3633,6.0436,4.2402,5.3099
ENSG00000014824,1.9296,2.331,2.0899,1.8793,1.8534,1.9808,2.3244,1.8985,2.0624,1.8634,2.321,1.7091
ENSG00000014914,0.0979,0.0592,0.0991,0.0988,0.1706,0.1081,0.081,0.1385,0.1108,0.1146,0.0798,0.1204
ENSG00000014919,1.142,1.0412,0.8448,1.1689,1.2295,1.207,1.1985,1.02,1.0356,1.1948,1.1199,1.0281
ENSG00000015133,6.2461,7.591,5.4905,4.5527,4.496,7.038,7.6089,7.1017,5.3698,6.9981,8.3433,5.0155
ENSG00000015153,0.9389,0.8769,1.1736,0.9184,0.8337,0.8584,0.8506,0.9912,1.2173,0.945,1.0079,0.8702
ENSG00000015171,2.8615,3.7635,3.3755,2.8674,2.7649,3.145,3.6919,3.0711,3.1175,2.9401,3.5651,2.735
ENSG00000015285,2.8341,3.3458,2.5007,2.8475,2.9216,3.8987,3.6615,2.9471,2.7062,2.9763,3.3529,3.1045
ENSG00000015475,1.5949,1.6256,2.5608,1.4612,1.3812,1.3927,1.607,1.7749,2.325,1.4173,1.5105,1.4919
ENSG00000015479,20.5783,24.2301,33.1929,18.77,17.7237,20.4453,21.8899,23.2388,30.4464,20.6096,23.7121,17.808
