gene,GSM5470489,GSM5470490,GSM5470491,GSM5470492,GSM5470493,GSM5470494
ENSG00000105617,0.0506,0.0934,0.0505,0.0367,0.0906,0.2561
ENSG00000105618,1.0318,0.5432,0.9677,1.2258,2.2537,1.842
ENSG00000105619,0.1372,0.2157,0.174,0.1145,0.3691,0.4996
ENSG00000105639,0.485,0.9066,0.3929,0.6445,0.7681,0.7388
ENSG00000105640,5.0296,9.4445,8.7294,5.7193,33.5085,32.3448
ENSG00000105641,0.5666,0.3936,0.5232,0.5398,0.4391,0.63
ENSG00000105642,0.3979,1.1652,0.3785,0.4374,0.3843,0.2982
ENSG00000105643,2.5248,0.6681,2.2719,1.6696,4.4077,13.8216
ENSG00000105647,1.3831,1.7852,1.5774,1.3784,2.0124,1.4267
ENSG00000105649,0.4796,2.4475,0.343,0.4451,0.4744,0.5732
ENSG00000105650,2.179,1.8182,1.9722,2.2086,1.7275,3.0949
ENSG00000105655,0.099,0.6113,0.0991,0.1599,0.0927,0.1658
ENSG00000105656,0.5936,0.6162,0.4965,0.4665,0.5035,0.559
ENSG00000105662,1.325,2.7025,1.8264,1.838,1.7112,1.7684
ENSG00000105664,0.688,0.475,0.6983,0.5965,0.5886,0.4396
ENSG00000105668,0.0637,0.0838,0.0549,0.0995,0.1185,0.0616
ENSG00000105669,2.3071,1.6287,3.675,1.69,7.515,6.6578
ENSG00000105671,1.0367,0.6011,1.355,1.3721,4.0538,3.1211
ENSG00000105672,0.0157,0.0174,0.0127,0.0062,0.0379,0.0388
ENSG00000105675,0.0077,0.076,0.0103,0.0201,0.0022,0.0017
ENSG00000105676,0.5138,0.5129,0.6899,0.7375,0.864,0.7902
ENSG00000105677,1.4149,0.7309,1.4002,0.7478,2.8576,1.7468
ENSG00000105679,0.0842,0.0217,0.1005,0.0187,0.0578,0.0105
ENSG00000105694,0.1044,0.0251,0.1718,0.0667,0.0452,0.1101
ENSG00000105695,25.1135,0.6511,33.7602,13.791,33.1217,46.5817
ENSG00000105696,1.3746,3.7106,0.9689,1.2948,3.0227,2.4436
ENSG00000105697,1.8926,2.1159,1.811,2.1439,1.7804,2.1956
ENSG00000105698,4.1711,4.9626,3.4096,3.8835,3.9316,5.3324
ENSG00000105699,0.2599,0.2272,0.2571,0.1785,0.1657,0.0991
ENSG00000105700,3.7416,2.3629,3.3573,2.9888,3.7497,3.924
ENSG00000105701,3.7022,6.1384,4.7346,3.4885,6.7419,6.6163
