gene,GSM5470483,GSM5470484,GSM5470485,GSM5470486,GSM5470487,GSM5470488,GSM5903107,GSM5903108,GSM5903109,GSM5903110,GSM5903111,GSM5903112,GSM5903113,GSM5903114
ENSG00000120594,6.5896,6.4676,5.0377,2.1857,5.8532,3.672,5.9633,9.6231,4.5183,6.557,5.6637,5.2515,8.2559,7.246
ENSG00000120616,6.2874,7.0647,6.1782,6.8788,7.1506,7.2588,6.3548,7.9639,6.3673,8.0093,9.1038,7.9013,11.8879,8.8618
ENSG00000120645,0.0275,1.049,0.0242,0.2868,0.4022,0.2722,0.1839,0.2027,1.9114,0.0351,0.0603,0.2034,0.0416,0.1278
ENSG00000120647,0.7737,1.3128,1.5337,1.2382,0.9999,1.6927,0.6485,1.0769,0.83,1.334,1.1211,1.3732,1.4207,1.2246
ENSG00000120656,1.1282,0.7301,0.495,0.6631,0.894,0.4453,1.1358,0.815,0.8182,1.3399,1.3201,0.6646,1.5674,0.731
ENSG00000120658,0.4128,1.4224,1.4572,1.037,0.9605,1.757,0.3328,1.6478,1.0075,1.2464,1.6734,1.3337,2.0587,2.0364
ENSG00000120659,0.0137,0.0078,0.0099,0.0411,0.0109,0.0177,0.007,0.0101,0.0097,0.0076,0.0085,0.0082,0.0066,0.015
ENSG00000120662,0.6324,0.7459,0.6633,0.7941,0.7856,0.6387,0.7434,0.8201,0.9419,0.9284,0.7901,0.7646,1.0253,1.0458
ENSG00000120669,0.1169,0.0615,0.0683,0.0741,0.0746,0.0409,0.1311,0.0537,0.1378,0.0401,0.0596,0.0464,0.0529,0.0607
ENSG00000120675,5.9445,2.4428,2.15,4.2244,3.6643,1.9644,6.235,3.3262,2.1667,4.0285,4.5039,4.9147,2.0022,1.373
ENSG00000120685,0.7608,1.038,0.9832,0.6687,1.0844,0.8264,0.8141,1.0857,1.0027,1.24,1.5755,1.1959,1.4465,1.615
ENSG00000120686,2.4532,2.8008,3.5785,4.3941,3.1721,3.9005,3.2761,3.147,2.6019,3.3138,3.9685,3.7101,3.0594,4.0416
ENSG00000120688,3.9544,4.1865,5.1405,2.9627,3.8454,4.045,2.8956,3.9641,1.9743,4.4428,5.5866,4.7029,4.5212,3.8179
ENSG00000120690,2.4073,1.3995,2.9667,3.8616,1.9702,2.7224,3.3081,3.2036,1.3925,2.4755,3.0425,2.6161,3.8119,1.8559
ENSG00000120693,4.0956,2.1193,3.6802,5.8151,3.078,3.5914,7.3344,2.7226,2.8682,2.6679,3.681,3.0316,3.4585,3.859
ENSG00000120694,23.0819,7.2899,259.1689,153.7117,17.0223,390.1156,160.7487,11.0406,32.7508,3.3803,11.1853,3.4796,53.238,3.4349
ENSG00000120696,1.0745,1.072,0.6867,0.8122,1.1743,0.9107,0.8869,1.1121,1.269,1.7278,1.6858,1.0086,2.0082,1.4866
ENSG00000120697,2.0294,1.3534,0.9076,1.0732,1.6681,1.6331,0.9977,1.6688,0.8876,2.428,2.5005,1.4938,1.5327,1.619
