gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000113595,0.9308,0.8785,1.3647,1.293,1.3084,1.1827,1.4591,1.1571,1.2588,1.2788
ENSG00000113597,0.7248,0.7711,0.8113,1.0126,0.6764,0.8232,0.9892,1.1109,1.0446,1.0845
ENSG00000113600,0.0036,0.0026,0.0013,0.0012,0.0004,0.0009,0.0012,0.0006,0.0005,0.0015
ENSG00000113615,0.7407,0.7268,1.2715,1.1056,1.0357,0.8079,1.0547,0.7949,0.6986,0.8432
ENSG00000113621,2.8313,2.3242,3.3123,3.0329,3.1879,2.3641,3.043,2.6024,2.6473,3.0866
ENSG00000113638,0.8954,0.6612,0.8237,1.0114,0.9102,0.7826,0.9515,0.7402,0.7315,1.1825
ENSG00000113643,1.0367,0.9994,1.0108,0.9034,1.0503,0.8175,0.935,0.8376,0.8342,0.9287
ENSG00000113645,2.7229,3.0788,6.3145,3.858,3.7073,2.3506,4.9177,3.8199,3.1511,4.3577
ENSG00000113648,5.1352,4.2763,4.9299,5.3545,5.3671,4.2334,4.7997,4.5992,4.2836,4.4011
ENSG00000113649,1.7969,1.9547,2.3426,2.7755,1.9216,2.2776,2.3918,2.539,2.2792,2.9532
ENSG00000113657,11.6652,10.5159,30.8227,21.5363,13.4571,7.1123,19.7691,18.0029,11.1134,18.4656
ENSG00000113658,2.2728,2.1437,3.6448,2.4047,2.6961,2.7458,3.1136,2.0645,1.9853,1.899
ENSG00000113712,7.1985,6.6479,9.035,7.5336,7.1116,6.2693,7.2985,6.2013,6.6708,5.0982
ENSG00000113716,1.5316,1.5102,2.1669,2.1224,1.5863,1.5783,1.8463,1.7903,1.9789,1.4956
ENSG00000113719,5.2489,4.4314,6.3234,4.8202,5.0784,4.4193,4.4052,3.8169,4.0232,3.6034
ENSG00000113721,2.2406,4.0197,3.8761,3.0698,4.3362,6.1382,3.6111,4.0181,5.0816,2.8424
ENSG00000113722,0.0036,0.0026,0.0004,0.0012,0.0012,0.0047,0.002,0.0039,0.0005,0.0034
ENSG00000113732,3.0111,2.9727,3.4321,2.5873,3.5932,2.1587,2.38,2.5512,2.8382,1.8454
